frame,detector,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps,x_bottom,center,line_pixels,error_direction
251,THRESH,left,-29.3217,-22.2558,0.26,33.1,0.0,66.1,0.0,19.4,-4531.47,160.00,9468,LEFT
252,THRESH,left,-19.7468,-21.2522,0.38,33.1,0.0,66.2,0.0,18.6,-2999.49,160.00,9289,LEFT
253,THRESH,left,-16.3808,-19.3036,0.46,33.1,0.0,66.2,0.0,18.0,-2460.92,160.00,9287,LEFT
254,THRESH,left,-17.1566,-18.4448,0.44,33.1,0.0,66.2,0.0,17.4,-2585.05,160.00,9402,LEFT
255,THRESH,left,0.8966,-10.7082,-88.13,54.5,0.0,0.0,100.0,16.9,303.46,160.00,2887,RIGHT
256,THRESH,left,2.3889,-5.4694,-5.44,34.3,0.0,0.0,68.7,17.5,542.22,160.00,4273,RIGHT
257,THRESH,right,22.7252,5.8084,-0.38,33.1,0.0,0.0,66.2,17.8,3796.03,160.00,6498,RIGHT
258,THRESH,right,-6.0727,1.0560,1.22,33.3,0.0,66.6,0.0,17.6,-811.63,160.00,4834,LEFT
259,THRESH,right,0.8590,0.9772,85.43,53.9,0.0,24.3,83.5,17.7,297.44,160.00,3346,RIGHT
260,THRESH,right,0.9778,0.9774,89.08,54.8,0.0,14.6,95.0,18.3,316.45,160.00,544,RIGHT
261,THRESH,right,0.9855,0.9807,89.45,54.9,0.0,13.9,95.9,20.0,317.69,160.00,408,RIGHT
262,THRESH,right,0.9828,0.9815,88.98,54.8,0.0,14.3,95.2,21.7,317.25,160.00,431,RIGHT
263,THRESH,right,0.9828,0.9821,88.98,54.8,0.0,14.3,95.2,23.2,317.25,160.00,431,RIGHT
264,THRESH,left,-13.9138,-4.9763,0.53,33.1,0.0,66.3,0.0,24.6,-2066.20,160.00,9467,LEFT
265,THRESH,left,-15.8378,-9.3209,0.47,33.1,0.0,66.2,0.0,23.3,-2374.05,160.00,9441,LEFT
266,THRESH,left,-22.9141,-14.7582,0.33,33.1,0.0,66.2,0.0,22.2,-3506.25,160.00,9122,LEFT
267,THRESH,left,-16.1054,-15.2970,0.46,33.1,0.0,66.2,0.0,21.2,-2416.86,160.00,9492,LEFT
268,THRESH,left,-15.8182,-15.5055,0.47,33.1,0.0,66.2,0.0,20.3,-2370.92,160.00,9489,LEFT
269,THRESH,left,-18.2157,-16.5896,0.41,33.1,0.0,66.2,0.0,19.5,-2754.51,160.00,9230,LEFT
270,THRESH,left,0.8959,-9.5954,-86.86,54.2,0.0,0.0,100.0,18.8,303.35,160.00,3006,RIGHT
271,THRESH,left,2.7778,-4.6461,-4.35,34.1,0.0,0.0,68.1,19.2,604.45,160.00,4240,RIGHT
272,THRESH,right,16.8583,3.9556,-0.52,33.1,0.0,0.0,66.3,19.3,2857.33,160.00,6680,RIGHT
273,THRESH,go,-5.9001,0.0133,1.25,33.3,0.0,66.6,0.0,18.9,-784.02,160.00,4901,LEFT
274,THRESH,right,0.9231,0.3773,88.07,54.5,0.0,0.0,100.0,18.8,307.70,160.00,1869,RIGHT
275,THRESH,right,0.9720,0.6152,87.87,54.5,0.0,0.0,100.0,19.8,315.53,160.00,578,RIGHT
276,THRESH,left,-15.9877,-6.0260,0.47,33.1,0.0,66.2,0.0,21.5,-2398.03,160.00,9388,LEFT
277,THRESH,left,-17.0074,-10.4185,0.44,33.1,0.0,66.2,0.0,20.5,-2561.19,160.00,9585,LEFT
278,THRESH,left,-18.4676,-13.6382,0.41,33.1,0.0,66.2,0.0,19.7,-2794.82,160.00,8973,LEFT
279,THRESH,left,-15.8751,-14.5329,0.47,33.1,0.0,66.2,0.0,19.0,-2380.01,160.00,9262,LEFT
280,THRESH,left,-15.2973,-14.8387,0.49,33.1,0.0,66.2,0.0,18.3,-2287.57,160.00,9370,LEFT
281,THRESH,left,0.8916,-8.5466,-87.99,54.5,0.0,0.0,100.0,17.7,302.66,160.00,3026,RIGHT
282,THRESH,left,3.6276,-3.6769,-3.02,33.7,0.0,0.0,67.5,18.3,740.41,160.00,4410,RIGHT
283,THRESH,right,22.2294,6.6856,-0.39,33.1,0.0,0.0,66.2,18.4,3716.71,160.00,6451,RIGHT
284,THRESH,right,-2.1513,3.1509,2.81,33.7,0.0,67.4,0.0,18.2,-184.21,160.00,4378,LEFT
285,THRESH,right,0.8808,2.2428,86.45,54.1,0.0,78.5,29.7,18.3,300.93,160.00,2840,RIGHT
286,THRESH,left,-14.1493,-4.3140,0.53,33.1,0.0,66.3,0.0,18.8,-2103.89,160.00,8582,LEFT
287,THRESH,left,0.9667,-2.2018,87.82,54.5,0.0,0.0,100.0,18.2,314.66,160.00,730,RIGHT
288,THRESH,left,0.9408,-0.9447,87.96,54.5,0.0,0.0,100.0,19.6,310.53,160.00,1421,RIGHT
