frame,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps
245,right,3.1652,0.8347,3.30,31.1,0.0,0.0,62.2,52.1
246,right,3.4516,1.6198,3.08,31.0,0.0,0.0,62.1,51.8
247,right,3.4516,2.1693,3.08,31.0,0.0,0.0,62.1,51.8
248,right,-0.4015,1.3981,32.06,40.7,0.0,81.4,0.0,51.3
249,right,-0.3509,0.8734,28.94,39.6,0.0,79.3,0.0,51.5
250,right,-0.3509,0.5061,28.94,39.6,0.0,79.3,0.0,51.7
251,right,-0.3100,0.2613,26.53,38.8,0.0,77.7,0.0,51.8
252,right,-0.3100,0.0899,26.53,38.8,0.0,73.0,4.7,51.9
253,go,-0.0158,0.0582,16.65,35.5,0.0,40.7,30.4,51.3
254,right,5.3990,1.6604,2.10,30.7,0.0,0.0,61.4,51.5
255,right,5.3990,2.7820,2.10,30.7,0.0,0.0,61.4,51.6
256,right,1.5872,2.4235,5.47,31.8,0.0,33.3,30.3,51.4
257,right,-0.3764,1.5836,30.04,40.0,0.0,80.0,0.0,51.5
258,right,-0.3764,0.9956,30.04,40.0,0.0,80.0,0.0,51.7
259,right,-0.3213,0.6005,27.33,39.1,0.0,78.2,0.0,51.8
260,right,-0.3213,0.3240,27.33,39.1,0.0,78.2,0.0,51.9
261,right,0.0029,0.2276,16.30,35.4,0.0,49.9,20.9,51.6
262,right,11.4219,3.5859,1.06,30.4,0.0,0.0,60.7,51.8
263,right,11.4219,5.9367,1.06,30.4,0.0,0.0,60.7,51.9
264,right,6.5599,6.1237,1.77,30.6,0.0,0.0,61.2,51.7
265,right,-0.3984,4.1670,31.88,40.6,0.0,81.3,0.0,51.4
266,right,-0.3984,2.7974,31.88,40.6,0.0,81.3,0.0,51.6
267,right,-0.4346,1.8278,34.89,41.6,0.0,83.3,0.0,51.7
268,right,-0.4346,1.1491,34.89,41.6,0.0,83.3,0.0,51.9
269,right,-0.2195,0.7385,22.27,37.4,0.0,74.8,0.0,51.8
270,right,-0.2195,0.4511,22.27,37.4,0.0,74.8,0.0,51.6
271,right,17.5459,5.5795,0.71,30.2,0.0,0.0,60.5,51.4
272,right,11.9289,7.4843,1.02,30.3,0.0,0.0,60.7,51.2
273,right,11.9289,8.8177,1.02,30.3,0.0,0.0,60.7,51.3
274,right,-0.2210,6.1061,22.05,37.3,0.0,74.7,0.0,51.0
275,right,-0.4775,4.1310,38.01,42.7,0.0,85.3,0.0,51.1
276,right,-0.4775,2.7484,38.01,42.7,0.0,85.3,0.0,51.1
277,right,-0.4641,1.7847,37.06,42.4,0.0,84.7,0.0,50.7
278,right,6.1490,3.0940,1.84,30.6,0.0,0.0,61.2,50.9
279,right,6.1490,4.0105,1.84,30.6,0.0,0.0,61.2,51.0
280,right,28.4224,11.3340,0.44,30.1,0.0,0.0,60.3,50.9
281,right,23.9186,15.1094,0.52,30.2,0.0,0.0,60.3,51.0
282,right,23.9186,17.7522,0.52,30.2,0.0,0.0,60.3,51.2
283,right,-0.4329,12.2966,33.68,41.2,0.0,82.5,0.0,51.2
284,right,-0.4329,8.4778,33.68,41.2,0.0,82.5,0.0,51.4
285,right,-0.3138,5.8403,26.39,38.8,0.0,77.6,0.0,50.7
286,right,7.6525,6.3840,1.51,30.5,0.0,0.0,61.0,50.7
287,right,7.6525,6.7645,1.51,30.5,0.0,0.0,61.0,50.7
288,right,27.0435,12.8482,0.46,30.2,0.0,0.0,60.3,50.2
289,right,259.2700,86.7747,0.05,30.0,0.0,0.0,60.0,50.1
290,right,259.2700,138.5233,0.05,30.0,0.0,0.0,60.0,50.2
291,right,2.2560,97.6431,4.22,31.4,0.0,62.8,0.0,50.1
292,right,2.2560,69.0270,4.22,31.4,0.0,62.8,0.0,49.9
