epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,922.415,0.60041,0.39979,0.80235,0.92826,0.87623,1,0.97821,0.83985,0.87623,1,0.97821,0.89971,0.56187,0.11631,0.76791,0.70762,0.0009902,0.0009902,0.0009902
104,931.794,0.70574,0.49178,0.69037,0.98159,0.9367,0.88,0.96751,0.86825,0.9367,0.88,0.96751,0.88308,0.46859,0.13143,0.67953,0.68024,0.0009803,0.0009803,0.0009803
105,940.247,0.58327,0.37425,0.53408,0.92402,0.94986,0.92,0.97929,0.85009,0.94986,0.92,0.97929,0.87571,0.52271,0.15717,1.1598,0.70765,0.0009704,0.0009704,0.0009704
106,949.336,0.65886,0.38138,0.6016,0.96041,1,0.95545,0.98948,0.86228,0.99256,0.92,0.96771,0.87025,0.51113,0.12927,0.48509,0.70803,0.0009605,0.0009605,0.0009605
107,958.768,0.6043,0.36643,0.64136,0.95636,0.72437,0.94636,0.90767,0.78077,0.78282,0.88,0.89029,0.79541,0.52096,0.12596,3.58448,0.69372,0.0009506,0.0009506,0.0009506
108,966.789,0.64056,0.36609,0.65356,0.96904,0.95154,0.96,0.9837,0.88773,0.95154,0.96,0.9837,0.88689,0.43237,0.12193,0.43347,0.67161,0.0009407,0.0009407,0.0009407
109,976.351,0.61716,0.38561,0.6224,0.97954,0.91699,0.92,0.95931,0.82527,0.91699,0.92,0.95931,0.85207,0.51067,0.13539,1.83424,0.69785,0.0009308,0.0009308,0.0009308
110,985.972,0.63066,0.37632,0.63599,0.95766,0.87728,0.92,0.96455,0.85861,0.87728,0.92,0.96455,0.87615,0.47604,0.1244,0.96633,0.69755,0.0009209,0.0009209,0.0009209
111,994.242,0.62418,0.35464,0.62784,0.98607,0.9046,0.88,0.96348,0.85484,0.9046,0.88,0.96348,0.87462,0.483,0.1216,0.62711,0.71608,0.000911,0.000911,0.000911
112,1003.8,0.61203,0.45344,0.56654,0.96471,0.89247,0.99614,0.9781,0.84702,0.89247,0.99614,0.9781,0.88967,0.46585,0.12953,0.68421,0.69145,0.0009011,0.0009011,0.0009011
113,1013.47,0.59135,0.38159,0.54932,0.94559,0.97615,0.92,0.98643,0.8632,0.97615,0.92,0.95938,0.85309,0.43952,0.13266,0.44612,0.68395,0.0008912,0.0008912,0.0008912
114,1021.83,0.58253,0.43016,0.56607,0.93772,0.98341,0.88,0.9811,0.86841,0.98341,0.88,0.95343,0.86092,0.42888,0.13594,0.58415,0.66889,0.0008813,0.0008813,0.0008813
115,1031.41,0.58107,0.39654,0.54229,0.95822,0.92307,0.95997,0.97662,0.86601,0.91156,0.92,0.94666,0.84764,0.48748,0.14042,0.50268,0.6983,0.0008714,0.0008714,0.0008714
116,1040.94,0.64623,0.33216,0.71095,0.97631,0.94112,0.84,0.93158,0.81668,0.94112,0.84,0.94189,0.87243,0.50062,0.12488,0.65208,0.70216,0.0008615,0.0008615,0.0008615
117,1049.24,0.56801,0.38046,0.69982,0.91303,0.97538,0.92,0.97266,0.85977,0.97538,0.92,0.97266,0.88556,0.46596,0.12826,3.52852,0.67144,0.0008516,0.0008516,0.0008516
118,1058.89,0.6012,0.41797,0.64096,0.95286,1,0.91404,0.98641,0.86339,1,0.91404,0.98641,0.89499,0.5133,0.13141,0.50409,0.7085,0.0008417,0.0008417,0.0008417
119,1070.68,0.56501,0.40642,0.53705,0.94998,0.99604,0.92,0.99044,0.87622,0.99604,0.92,0.99044,0.87698,0.4655,0.12052,0.47216,0.68937,0.0008318,0.0008318,0.0008318
120,1079.93,0.54102,0.3775,0.50994,0.93646,0.92429,0.97707,0.98084,0.86706,0.95932,0.94376,0.94911,0.87206,0.44242,0.12477,0.84051,0.68895,0.0008219,0.0008219,0.0008219
121,1088.71,0.55111,0.36143,0.55277,0.91481,0.99591,1,0.995,0.86368,0.99591,1,0.995,0.91384,0.45257,0.12348,0.43129,0.68483,0.000812,0.000812,0.000812
122,1098.45,0.58163,0.33848,0.57289,0.94297,0.99689,0.96,0.98948,0.8845,0.99689,0.96,0.98948,0.87784,0.42082,0.1263,0.4277,0.67009,0.0008021,0.0008021,0.0008021
123,1108.08,0.56029,0.34048,0.71146,0.92687,0.91484,1,0.98907,0.88126,0.91484,1,0.98907,0.90275,0.4311,0.12947,0.63507,0.66392,0.0007922,0.0007922,0.0007922
124,1116.71,0.54703,0.46124,0.58057,0.9211,0.94413,0.96,0.99044,0.88498,0.95972,0.95332,0.95778,0.84798,0.46827,0.15836,0.58035,0.66167,0.0007823,0.0007823,0.0007823
125,1126.43,0.59076,0.36538,0.63229,0.94726,0.9599,0.95764,0.98404,0.86584,0.9599,0.95764,0.95148,0.88179,0.50593,0.14704,0.49408,0.67691,0.0007724,0.0007724,0.0007724
126,1136.27,0.61748,0.50563,0.61527,0.94428,0.95158,1,0.99192,0.89819,0.95964,0.95135,0.95717,0.85602,0.47118,0.15594,0.59805,0.65609,0.0007625,0.0007625,0.0007625
127,1144.57,0.59745,0.37832,0.601,0.93226,0.96117,0.99054,0.99038,0.88418,0.96117,0.99054,0.99038,0.83482,0.49693,0.15494,0.66442,0.67027,0.0007526,0.0007526,0.0007526
